"rank","name","channel_Info","Category","Posts","Followers","Avg. Likes","Eng Rate"
"65","sooyaaa__","female","entertainment","0.9K","66.6M","0.92K","8%"
"66","raffinagita1717","male","entertainment","18.3K","66M","18.26K","0.4%"
"67","camila_cabello","female","entertainment","3K","65.8M","2.97K","1.8%"
"68","roses_are_rosie","female","entertainment","879","65.2M","879","8.3%"
"69","jacquelinef143","female","entertainment","2.5K","64.3M","2.47K","1.1%"
"70","akshaykumar","male","entertainment","2K","63.6M","2K","2%"
"71","psg","male","Health, Sports & Fitness","10.5K","63.6M","10.47K","0.8%"
"72","anitta","female","entertainment","5.2K","63.5M","5.22K","1.2%"
"73","maluma","female","entertainment","8.2K","62.8M","8.19K","1.3%"
"74","willsmith","male","entertainment","1.4K","62.7M","1.41K","1.8%"
"75","karimbenzema","male","Health, Sports & Fitness","2.1K","62M","2.07K","1.7%"
"76","premierleague","male","Health, Sports & Fitness","21.3K","61.8M","21.29K","0.3%"
"77","anushkasharma","female","entertainment","1.2K","61.6M","1.20K","3.3%"
"78","manchesterunited","male","Health, Sports & Fitness","23.7K","61.4M","23.73K","0.8%"
"79","milliebobbybrown","female","entertainment","336","60.3M","336","6%"
"80","urvashirautela","female","entertainment","2K","60.2M","2.03K","0.7%"
"81","marcelotwelve","male","Health, Sports & Fitness","2.7K","60M","2.74K","1%"
"82","whinderssonnunes","male","entertainment","2.8K","58.6M","2.81K","1.9%"
"83","9gag","community","Lifestyle","31K","58.1M","31.04K","0.5%"
"84","karolg","male","entertainment","3.3K","58.1M","3.31K","5.2%"
"85","iamzlatanibrahimovic","male","Health, Sports & Fitness","0.9K","56.8M","0.91K","1.7%"
"86","zacefron","male","entertainment","677","56.6M","677","2.4%"
"87","bellahadid","female","entertainment","3.3K","56.6M","3.28K","1.8%"
"88","chrishemsworth","male","entertainment","0.9K","56.1M","0.90K","3.2%"
"89","beingsalmankhan","male","entertainment","1.2K","56M","1.22K","1.7%"
"90","juventus","male","Health, Sports & Fitness","13.3K","55.9M","13.28K","0.4%"
"91","paulpogba","male","Health, Sports & Fitness","1.3K","55.7M","1.32K","1.7%"
"92","dishapatani","female","entertainment","2K","55.5M","2K","2%"
"93","zara","brand","fashion","3.9K","55.2M","3.94K","0.1%"
"94","mosalah","male","Health, Sports & Fitness","870","54.8M","870","2.3%"
"95","tatawerneck","female","entertainment","5.7K","54.6M","5.71K","0.9%"
"96","sunnyleone","female","entertainment","4.8K","54.4M","4.80K","0.8%"
"97","sergioramos","male","Health, Sports & Fitness","2.3K","54.3M","2.32K","2.1%"
"98","leonardodicaprio","male","entertainment","1.7K","54.2M","1.69K","0.4%"
"99","robertdowneyjr","male","entertainment","449","53.9M","449","3.4%"
"100","thv","male","entertainment","76","53.8M","76","23.9%"
"101","ayutingting92","female","entertainment","11.7K","53.5M","11.65K","0.1%"
"102","chanelofficial","brand","Beauty & Makeup","5.1K","53.5M","5.11K","0.1%"
"103","ladygaga","female","entertainment","3.6K","53.5M","3.58K","1.5%"
"104","jbalvin","male","entertainment","13.1K","52.8M","13.07K","1.2%"
"105","michelleobama","","Finance","691","51.9M","691","0.8%"
"106","kritisanon","female","entertainment","2.8K","51.8M","2.82K","1.3%"
"107","hudabeauty","female","Beauty & Makeup","2.4K","51.6M","2.36K","0.1%"
"108","adele","female","entertainment","430","51M","430","6.8%"
"109","krisjenner","male","entertainment","6.5K","50.9M","6.49K","0.7%"
"110","blackpinkofficial","female","entertainment","1.6K","50.9M","1.58K","2.7%"
"111","433","community","Health, Sports & Fitness","21.2K","50.6M","21.21K","1.3%"
"112","jamesrodriguez10","male","Health, Sports & Fitness","1.1K","50.2M","1.09K","1.5%"
"113","louisvuitton","brand","fashion","6.6K","50.1M","6.63K","0.2%"
"114","lelepons","female","entertainment","2.5K","50M","2.53K","2.9%"
"115","nusr_et","male","food","2.4K","49.9M","2.40K","1.1%"
"116","gucci","brand","fashion","9.2K","49.8M","9.15K","0.2%"
"117","jokowi","male","News & Politics","3.9K","49.6M","3.93K","0.5%"
"118","haileybieber","female","entertainment","2K","49.6M","2.03K","3.5%"
"119","jungkook.97","","","87","49.2M","87","15.2%"
"120","charlidamelio","female","entertainment","228","48.7M","228","5.4%"
"121","dovecameron","male","entertainment","199","48.4M","199","2.8%"
"122","harrystyles","male","entertainment","659","47.9M","659","8.5%"
"123","vanessahudgens","female","entertainment","4.3K","47.9M","4.31K","0.8%"
"124","larissamanoela","female","entertainment","5.4K","47.9M","5.44K","0.7%"
"125","stephencurry30","male","Health, Sports & Fitness","1.1K","47.8M","1.09K","1.8%"
"126","zayn","male","entertainment","176","47.6M","176","8.3%"
"127","travisscott","male","entertainment","3.2K","47.2M","3.17K","5.7%"
"128","daddyyankee","male","entertainment","76","47M","76","1.3%"
"129","vancityreynolds","male","entertainment","718","46.9M","718","1.9%"
"130","j.m","female","entertainment","31","46.5M","31","26.6%"
"131","theweeknd","male","entertainment","758","46.5M","758","2.6%"
"132","5.min.crafts","brand","Craft/DIY","15.5K","46.2M","15.48K","0.1%"
"133","thenotoriousmma","male","Health, Sports & Fitness","3.4K","46.2M","3.37K","1.6%"
"134","natgeotravel","brand","photography","17.2K","46M","17.24K","0.2%"
"135","maisa","male","entertainment","1.6K","45.8M","1.56K","0.9%"
"136","nikefootball","brand","Health, Sports & Fitness","1.8K","45.4M","1.83K","0.4%"
"137","jannatzubair29","female","entertainment","1.7K","45.2M","1.74K","2.1%"
"138","varundvn","male","entertainment","2K","44.9M","1.96K","1.8%"
"139","badbunnypr","male","entertainment","16","44.6M","16","9.7%"
"140","hrithikroshan","male","entertainment","636","44.6M","636","2.9%"
"141","gusttavolima","male","entertainment","5K","43.9M","5.02K","0.8%"
"142","buzzfeedtasty","community","food","10.1K","43.9M","10.12K","0.1%"
"143","kapilsharma","male","entertainment","1.1K","43.8M","1.06K","1.5%"
"144","brunamarquezine","female","entertainment","3.1K","43.7M","3.06K","1.4%"
"145","norafatehi","female","entertainment","1.8K","43.6M","1.81K","2.6%"
"146","ranveersingh","male","entertainment","1.8K","42.5M","1.80K","1.5%"
"147","dior","female","Beauty & Makeup","10.1K","42.3M","10.09K","0.1%"
"148","uarmyhope","","fashion","171","42.2M","171","18.5%"
"149","georginagio","female","fashion","778","42.2M","778","5.7%"
"150","cznburak","male","entertainment","1.8K","42.2M","1.83K","2.1%"
"151","jin","male","","100","42.1M","100","23%"
"152","laliga","community","Health, Sports & Fitness","37.7K","41.9M","37.73K","0.1%"
"153","voguemagazine","brand","fashion","11K","41.8M","10.99K","0.3%"
"154","britneyspears","female","entertainment","3.2K","41.7M","3.21K","1.2%"
"155","teddysphotos","male","entertainment","64","41.4M","64","1.2%"
"156","virginia","female","fashion","2K","41.4M","1.99K","4%"
"157","saraalikhan95","female","entertainment","889","41.4M","889","2.3%"
"158","marinaruybarbosa","female","entertainment","2.1K","41.2M","2.12K","0.6%"
"159","agustd","","","83","41.2M","83","25.3%"
"160","princessyahrini","female","entertainment","4.6K","41.2M","4.57K","0.1%"
"161","jenniferaniston","female","entertainment","110","41.1M","110","5.8%"
"162","worldstar","community","entertainment","101.8K","41M","101.81K","0.1%"
"163","andresiniesta8","male","Health, Sports & Fitness","2.1K","40.8M","2.09K","0.4%"
"164","natashawilona12","female","entertainment","1.2K","40.5M","1.24K","0.8%"
"165","rkive","male","entertainment","120","40.3M","120","15.3%"
"166","mahi7781","male","Health, Sports & Fitness","107","40.1M","107","10.9%"
"167","liverpoolfc","community","Health, Sports & Fitness","20.5K","39.9M","20.46K","0.5%"
"168","prattprattpratt","male","entertainment","753","39.9M","753","1.1%"
"169","addisonraee","male","entertainment","325","39.5M","325","5%"
"170","wizkhalifa","male","entertainment","37","39.4M","37","0.8%"
"171","parineetichopra","female","entertainment","1.4K","39.2M","1.35K","0.9%"
"172","anushkasen0408","female","entertainment","5.5K","39M","5.47K","1.5%"
"173","chrissyteigen","female","entertainment","5.1K","38.6M","5.11K","0.7%"
"174","hm","brand","fashion","7.5K","38.5M","7.48K","0.1%"
"175","wesleysafadao","male","entertainment","9K","38.3M","9.02K","0.3%"
"176","marvelstudios","community","entertainment","2.8K","38.2M","2.81K","1.3%"
"177","houseofhighlights","male","Health, Sports & Fitness","26.9K","37.9M","26.92K","0.8%"
"178","tyga","","entertainment","27","37.7M","27","1.7%"
"179","eminem","male","entertainment","721","37.6M","721","2.4%"
"180","sachintendulkar","male","Health, Sports & Fitness","1.1K","37.5M","1.07K","1.7%"
"181","danialves","male","Health, Sports & Fitness","3.4K","37.4M","3.40K","0.8%"
"182","gisel_la","female","entertainment","10.2K","37.4M","10.17K","0.2%"
"183","blakelively","male","entertainment","121","37M","121","5.6%"
"184","chelseafc","community","Health, Sports & Fitness","17.3K","36.6M","17.29K","0.6%"
"185","shahidkapoor","male","entertainment","1.2K","36.6M","1.18K","2.4%"
"186","kimberly.loaiza","female","entertainment","578","36.6M","578","4.4%"
"187","toni.kr8s","male","Health, Sports & Fitness","1K","36.6M","0.97K","1.2%"
"188","antogriezmann","male","Health, Sports & Fitness","872","36.4M","872","1.8%"
"189","mercedesbenz","brand","technology","18.5K","36.4M","18.48K","0.3%"
"190","nattinatasha","female","entertainment","54","36.1M","54","1.3%"
"191","tigerjackieshroff","male","entertainment","2.2K","36.1M","2.17K","1.9%"
"192","lunamaya","female","entertainment","4.2K","36.1M","4.17K","0.2%"
"193","mancity","male","Health, Sports & Fitness","19.6K","36M","19.56K","0.4%"
"194","disney","brand","entertainment","7.7K","35.8M","7.70K","0.3%"
"195","barackobama","male","News & Politics","743","35.5M","743","1.7%"
"196","fcbayern","male","Health, Sports & Fitness","16.8K","35.4M","16.78K","0.6%"
"197","colesprouse","male","entertainment","1.1K","35.3M","1.14K","3.5%"
"198","shaymitchell","male","entertainment","6.3K","35.1M","6.31K","1.2%"
"199","ivetesangalo","female","entertainment","7.8K","35M","7.77K","0.4%"
"200","paollaoliveirareal","female","entertainment","4.8K","34.9M","4.78K","0.7%"
